MC,mean_A_%,mean_B_%,median_A_%,median_B_%,delta_arcsin,n_A,n_B,p,p_adj,signed_logFDR,grpA,grpB,test,contrast
MC1,9.592338450679692,30.552190503439192,7.127881860190985,27.52747252747253,-0.278203907296299,14,13,3.339504134664301e-05,0.00011131680448881003,-3.953439269215427,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC2,8.10729474644744,24.453909475853404,5.554136383080684,24.895977808599167,-0.23822297406767773,14,13,9.369852852119802e-05,0.00023424632130299505,-3.6303272207191797,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC3,0.8198576166518541,2.7063343667324244,0.5440052603257622,1.994134897360704,-0.07630610803089814,14,13,0.0005211945251563339,0.0010423890503126678,-2.9819701592810466,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC4,0.3521414034982217,0.6145439459964623,0.17028443638832846,0.5994550408719346,-0.024085690533327,14,13,0.039173308961157845,0.0559618699445112,-1.252107782153505,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC5,12.360409986295647,0.5635787239162873,7.661974347798265,0.469208211143695,0.2508698575054397,14,13,1.1251058071805434e-05,0.00011131680448881003,3.953439269215427,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC6,10.289224743953332,0.7062209031885133,10.751782630908913,0.633147113594041,0.22828360666789976,14,13,3.339504134664301e-05,0.00011131680448881003,3.953439269215427,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC7,22.22343225672805,6.601472610805668,17.682834494821144,3.684598378776714,0.229265790863476,14,13,0.0008872287600146993,0.0014787146000244987,2.830115639116705,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC8,3.422852320618182,2.268521428715519,2.554772864366723,1.246458923512748,0.038847243496386935,14,13,0.2541343816613656,0.2541343816613656,0.5949365755804447,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC9,13.682031394791098,18.879745389431783,11.083963808584937,21.580381471389646,-0.08110407471713083,14,13,0.1388604806988137,0.1542894229986819,-0.8116638451018171,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC10,19.15041708033649,12.653482651920744,21.806785977890485,12.690707350901526,0.0831517143724419,14,13,0.06879998796556562,0.08599998495695703,1.0655016247228406,HIV_W0,HC,unpaired,HIV_W0_vs_HC
MC1,9.592338450679692,18.2881409087475,7.127881860190985,15.627971890780747,-0.1293497409747666,14,10,0.017719058658581786,0.03543811731716357,-1.4505293584691166,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC2,8.10729474644744,16.398038687033786,5.554136383080684,17.52285388482023,-0.13396450633096785,14,10,0.010862255333717213,0.027155638334293034,-1.5661399840036405,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC3,0.8198576166518541,1.520429775057927,0.5440052603257622,1.0961050422560414,-0.03410211959694252,14,10,0.06511742054768742,0.09302488649669631,-1.0314008512057946,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC4,0.3521414034982217,0.39524355195152755,0.17028443638832846,0.23510733761303235,-0.006324895401722007,14,10,0.3958628946276468,0.3958628946276468,-0.40245520401610835,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC5,12.360409986295647,0.8311579558721907,7.661974347798265,0.6684741959611069,0.23553336423202523,14,10,6.047509713585352e-05,0.0006047509713585352,3.2184234253963218,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
